State,Year,Month,Drug Name,Death Count
AK,2016,April,Prescription Opioids,68
AK,2016,April,Cocaine ,11
AK,2016,April,Psychostimulants ,35
AK,2016,April,Methadone,18
AK,2016,April,Prescription Opioids,75
AK,2016,April,Heroin ,40
AK,2016,April,Opioids ,95
AK,2016,April,Prescription Opioids,60
AK,2016,April,Prescription Opioids,11
AK,2016,August,Heroin ,39
AK,2016,August,Methadone,19
AK,2016,August,Psychostimulants ,41
AK,2016,August,Opioids ,100
AK,2016,August,Cocaine ,12
AK,2016,August,Prescription Opioids,64
AK,2016,August,Prescription Opioids,72
AK,2016,August,Prescription Opioids,12
AK,2016,August,Prescription Opioids,55
AK,2016,December,Prescription Opioids,46
AK,2016,December,Opioids ,96
AK,2016,December,Heroin ,49
AK,2016,December,Prescription Opioids,59
AK,2016,December,Prescription Opioids,53
AK,2016,December,Cocaine ,15
AK,2016,December,Psychostimulants ,53
AK,2016,December,Methadone,14
AK,2016,February,Psychostimulants ,31
AK,2016,February,Prescription Opioids,12
AK,2016,February,Opioids ,91
AK,2016,February,Prescription Opioids,61
AK,2016,February,Prescription Opioids,68
AK,2016,February,Methadone,15
AK,2016,February,Heroin ,37
AK,2016,February,Prescription Opioids,76
AK,2016,January,Prescription Opioids,66
AK,2016,January,Prescription Opioids,60
AK,2016,January,Prescription Opioids,13
AK,2016,January,Methadone,13
AK,2016,January,Opioids ,90
AK,2016,January,Prescription Opioids,75
AK,2016,January,Heroin ,35
AK,2016,January,Psychostimulants ,27
AK,2016,July,Psychostimulants ,39
AK,2016,July,Prescription Opioids,78
AK,2016,July,Methadone,21
AK,2016,July,Opioids ,107
AK,2016,July,Cocaine ,13
AK,2016,July,Heroin ,42
AK,2016,July,Prescription Opioids,60
AK,2016,July,Prescription Opioids,70
AK,2016,July,Prescription Opioids,13
AK,2016,June,Cocaine ,11
AK,2016,June,Opioids ,102
AK,2016,June,Prescription Opioids,76
AK,2016,June,Psychostimulants ,37
AK,2016,June,Prescription Opioids,69
AK,2016,June,Prescription Opioids,12
AK,2016,June,Methadone,20
AK,2016,June,Prescription Opioids,60
AK,2016,June,Heroin ,40
AK,2016,March,Opioids ,90
AK,2016,March,Prescription Opioids,64
AK,2016,March,Methadone,16
AK,2016,March,Prescription Opioids,57
AK,2016,March,Psychostimulants ,31
AK,2016,March,Prescription Opioids,72
AK,2016,March,Prescription Opioids,12
AK,2016,March,Heroin ,38
AK,2016,May,Cocaine ,11
AK,2016,May,Opioids ,103
AK,2016,May,Prescription Opioids,11
AK,2016,May,Methadone,17
AK,2016,May,Psychostimulants ,39
AK,2016,May,Prescription Opioids,77
AK,2016,May,Prescription Opioids,63
AK,2016,May,Heroin ,44
AK,2016,May,Prescription Opioids,70
AK,2016,November,Prescription Opioids,51
AK,2016,November,Heroin ,45
AK,2016,November,Prescription Opioids,59
AK,2016,November,Psychostimulants ,45
AK,2016,November,Opioids ,99
AK,2016,November,Methadone,15
AK,2016,November,Cocaine ,15
AK,2016,November,Prescription Opioids,64
AK,2016,October,Prescription Opioids,53
AK,2016,October,Prescription Opioids,64
AK,2016,October,Psychostimulants ,44
AK,2016,October,Methadone,15
AK,2016,October,Heroin ,38
AK,2016,October,Prescription Opioids,60
AK,2016,October,Opioids ,94
AK,2016,October,Cocaine ,13
AK,2016,September,Psychostimulants ,42
AK,2016,September,Prescription Opioids,54
AK,2016,September,Prescription Opioids,10
AK,2016,September,Opioids ,96
AK,2016,September,Methadone,17
AK,2016,September,Prescription Opioids,62
AK,2016,September,Prescription Opioids,68
AK,2016,September,Heroin ,37
AK,2016,September,Cocaine ,11
AK,2017,April,Prescription Opioids,35
AK,2017,April,Prescription Opioids,30
AK,2017,April,Psychostimulants ,52
AK,2017,April,Prescription Opioids,12
AK,2017,April,Opioids ,78
AK,2017,April,Heroin ,43
AK,2017,April,Prescription Opioids,44
AK,2017,April,Cocaine ,16
AK,2017,August,Heroin ,46
AK,2017,August,Prescription Opioids,29
AK,2017,August,Opioids ,99
AK,2017,August,Prescription Opioids,44
AK,2017,August,Cocaine ,21
AK,2017,August,Prescription Opioids,48
AK,2017,August,Prescription Opioids,68
AK,2017,August,Psychostimulants ,64
AK,2017,December,Opioids ,100
AK,2017,December,Prescription Opioids,37
AK,2017,December,Prescription Opioids,50
AK,2017,December,Prescription Opioids,46
AK,2017,December,Psychostimulants ,64
AK,2017,December,Heroin ,36
AK,2017,December,Prescription Opioids,75
AK,2017,December,Cocaine ,18
AK,2017,February,Prescription Opioids,36
AK,2017,February,Psychostimulants ,54
AK,2017,February,Prescription Opioids,42
AK,2017,February,Heroin ,49
AK,2017,February,Prescription Opioids,11
AK,2017,February,Opioids ,90
AK,2017,February,Prescription Opioids,50
AK,2017,February,Cocaine ,18
AK,2017,January,Psychostimulants ,55
AK,2017,January,Methadone,11
AK,2017,January,Prescription Opioids,40
AK,2017,January,Prescription Opioids,10
AK,2017,January,Prescription Opioids,47
AK,2017,January,Heroin ,50
AK,2017,January,Opioids ,93
AK,2017,January,Cocaine ,15
AK,2017,January,Prescription Opioids,54
AK,2017,July,Heroin ,44
AK,2017,July,Opioids ,91
AK,2017,July,Prescription Opioids,40
AK,2017,July,Prescription Opioids,27
AK,2017,July,Cocaine ,20
AK,2017,July,Prescription Opioids,63
AK,2017,July,Prescription Opioids,44
AK,2017,July,Psychostimulants ,59
AK,2017,June,Prescription Opioids,24
AK,2017,June,Heroin ,42
AK,2017,June,Psychostimulants ,54
AK,2017,June,Opioids ,85
AK,2017,June,Prescription Opioids,40
AK,2017,June,Prescription Opioids,57
AK,2017,June,Cocaine ,20
AK,2017,June,Prescription Opioids,35
AK,2017,March,Prescription Opioids,35
