,State,Year,Month,Drug Name,Death Count,Percent Complete,Percent Pending Investigation,Predicted Value
144,AK,2016,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68.0,100,0.0,68.0
145,AK,2016,April,Cocaine (T40.5),11.0,100,0.0,11.0
146,AK,2016,April,Number of Drug Overdose Deaths,132.0,100,0.0,132.0
147,AK,2016,April,Psychostimulants with abuse potential (T43.6),35.0,100,0.0,36.0
148,AK,2016,April,Number of Deaths,4262.0,100,0.0,
149,AK,2016,April,Methadone (T40.3),18.0,100,0.0,19.0
150,AK,2016,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75.0,100,0.0,75.0
151,AK,2016,April,Heroin (T40.1),40.0,100,0.0,40.0
152,AK,2016,April,"Opioids (T40.0-T40.4,T40.6)",95.0,100,0.0,95.0
153,AK,2016,April,Natural & semi-synthetic opioids (T40.2),60.0,100,0.0,60.0
154,AK,2016,April,Percent with drugs specified,93.9393939393939,100,0.0,
155,AK,2016,April,"Synthetic opioids, excl. methadone (T40.4)",11.0,100,0.0,11.0
156,AK,2016,August,Heroin (T40.1),39.0,100,0.023386342376052003,40.0
157,AK,2016,August,Methadone (T40.3),19.0,100,0.023386342376052003,20.0
158,AK,2016,August,Psychostimulants with abuse potential (T43.6),41.0,100,0.023386342376052003,42.0
159,AK,2016,August,Percent with drugs specified,96.3768115942029,100,0.023386342376052003,
160,AK,2016,August,Number of Deaths,4276.0,100,0.023386342376052003,
161,AK,2016,August,"Opioids (T40.0-T40.4,T40.6)",100.0,100,0.023386342376052003,100.0
162,AK,2016,August,Cocaine (T40.5),12.0,100,0.023386342376052003,13.0
163,AK,2016,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64.0,100,0.023386342376052003,65.0
164,AK,2016,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72.0,100,0.023386342376052003,73.0
165,AK,2016,August,"Synthetic opioids, excl. methadone (T40.4)",12.0,100,0.023386342376052003,13.0
166,AK,2016,August,Natural & semi-synthetic opioids (T40.2),55.0,100,0.023386342376052003,56.0
167,AK,2016,August,Number of Drug Overdose Deaths,138.0,100,0.023386342376052003,138.0
168,AK,2016,December,Number of Drug Overdose Deaths,129.0,100,0.068886337543054,130.0
169,AK,2016,December,Natural & semi-synthetic opioids (T40.2),46.0,100,0.068886337543054,47.0
170,AK,2016,December,"Opioids (T40.0-T40.4,T40.6)",96.0,100,0.068886337543054,97.0
171,AK,2016,December,Number of Deaths,4355.0,100,0.068886337543054,
172,AK,2016,December,Heroin (T40.1),49.0,100,0.068886337543054,50.0
173,AK,2016,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",59.0,100,0.068886337543054,60.0
174,AK,2016,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",53.0,100,0.068886337543054,54.0
175,AK,2016,December,Cocaine (T40.5),15.0,100,0.068886337543054,16.0
176,AK,2016,December,Psychostimulants with abuse potential (T43.6),53.0,100,0.068886337543054,54.0
177,AK,2016,December,Methadone (T40.3),14.0,100,0.068886337543054,15.0
178,AK,2016,December,"Synthetic opioids, excl. methadone (T40.4)",,100,0.068886337543054,
179,AK,2016,December,Percent with drugs specified,99.22480620155041,100,0.068886337543054,
180,AK,2016,February,Number of Drug Overdose Deaths,128.0,100,0.0,128.0
181,AK,2016,February,Psychostimulants with abuse potential (T43.6),31.0,100,0.0,32.0
182,AK,2016,February,Number of Deaths,4198.0,100,0.0,
183,AK,2016,February,"Synthetic opioids, excl. methadone (T40.4)",12.0,100,0.0,12.0
184,AK,2016,February,Cocaine (T40.5),,100,0.0,
185,AK,2016,February,"Opioids (T40.0-T40.4,T40.6)",91.0,100,0.0,91.0
186,AK,2016,February,Natural & semi-synthetic opioids (T40.2),61.0,100,0.0,61.0
187,AK,2016,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68.0,100,0.0,68.0
188,AK,2016,February,Percent with drugs specified,91.40625,100,0.0,
189,AK,2016,February,Methadone (T40.3),15.0,100,0.0,16.0
190,AK,2016,February,Heroin (T40.1),37.0,100,0.0,37.0
191,AK,2016,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76.0,100,0.0,76.0
192,AK,2016,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",66.0,100,0.0,66.0
193,AK,2016,January,Natural & semi-synthetic opioids (T40.2),60.0,100,0.0,60.0
194,AK,2016,January,"Synthetic opioids, excl. methadone (T40.4)",13.0,100,0.0,13.0
195,AK,2016,January,Methadone (T40.3),13.0,100,0.0,14.0
196,AK,2016,January,Number of Deaths,4213.0,100,0.0,
197,AK,2016,January,Number of Drug Overdose Deaths,126.0,100,0.0,126.0
198,AK,2016,January,Percent with drugs specified,90.4761904761905,100,0.0,
199,AK,2016,January,"Opioids (T40.0-T40.4,T40.6)",90.0,100,0.0,90.0
200,AK,2016,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75.0,100,0.0,75.0
201,AK,2016,January,Heroin (T40.1),35.0,100,0.0,35.0
202,AK,2016,January,Cocaine (T40.5),,100,0.0,
203,AK,2016,January,Psychostimulants with abuse potential (T43.6),27.0,100,0.0,28.0
204,AK,2016,July,Psychostimulants with abuse potential (T43.6),39.0,100,0.0,40.0
205,AK,2016,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",78.0,100,0.0,78.0
206,AK,2016,July,Methadone (T40.3),21.0,100,0.0,22.0
207,AK,2016,July,"Opioids (T40.0-T40.4,T40.6)",107.0,100,0.0,107.0
208,AK,2016,July,Cocaine (T40.5),13.0,100,0.0,13.0
209,AK,2016,July,Heroin (T40.1),42.0,100,0.0,42.0
210,AK,2016,July,Percent with drugs specified,96.50349650349649,100,0.0,
211,AK,2016,July,Number of Deaths,4269.0,100,0.0,
212,AK,2016,July,Natural & semi-synthetic opioids (T40.2),60.0,100,0.0,60.0
213,AK,2016,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",70.0,100,0.0,70.0
214,AK,2016,July,"Synthetic opioids, excl. methadone (T40.4)",13.0,100,0.0,13.0
